Sentence,Emotion,Emotion_ID
Can you see it?,neutral,0
"Flap, turd.",disgust,2
How did it come across to you?,neutral,0
"Well, they are constantly triggering me.",anger,1
"Oh, such a thing.",surprise,6
"Yes, I got that as a gift at a meeting.",happiness,4
Because I did not participate in the bonte aal.,sadness,5
But this is David by Michelangelo.,neutral,0
Did you take such offense at this?,anger,1
Eight meters.,neutral,0
"Yes, but Tietse, then you don't have to look here on my property with us.",anger,1
But was that meant for Tietse?,surprise,6
No.,anger,1
No.,sadness,5
And that's not how you experienced it?,neutral,0
"No, that's not how I experienced it, no.",neutral,0
You just told me for a moment...,neutral,0
"I thought that was for me, that they would give me a...",sadness,5
Finding it funny.,happiness,4
"Well, then it's more like a little willy, you know.",disgust,2
There was a lot of beer on it and my wife washed it out...,neutral,0
"and he hangs it on the line and sees them, who walks in the field...",neutral,0
and who thinks that it has to do with him...,fear,3
that we think he is a jerk.,disgust,2
No.,anger,1
It was just a very tiny little dick.,disgust,2
"Then I would have put up a really big one, you know.",happiness,4
"So, ha.",neutral,0
"No, not at all.",neutral,0
Then we still have the poisoning of the conifers.,fear,3
"She sees them, your conifers, you put them there, that row.",neutral,0
Yes.,neutral,0
"And with some, things are not going so well.",sadness,5
"No, that's correct.",neutral,0
I think those are poisoned.,fear,3
"Not everything was dead, right?",surprise,6
Those were just weather conditions and not poisoning.,neutral,0
Because I have never poisoned anything of yours...,neutral,0
and I have never broken anything of yours.,anger,1
"Boy, here.",neutral,0
Good afternoon.,neutral,0
"Mr. Visser, good afternoon.",neutral,0
Good afternoon.,neutral,0
Welcome to Nije-Haske.,happiness,4
I brought our regular double ladder.,neutral,0
Nice that you are here.,happiness,4
May I introduce you to both parties?,neutral,0
This is Zietse.,neutral,0
Zietse Koster.,neutral,0
Zietse lives here together with his wife Lisbeth...,neutral,0
who unfortunately is currently in the hospital.,sadness,5
I think I would stay here much longer.,neutral,0
That I am just going to earn myself to death.,sadness,5
Hilde's announcement from the previous evening has made the camp think.,neutral,0
"Normally those were our affairs, of course not.",anger,1
That should not come to us here either.,anger,1
"Normally those were our affairs, of course not.",anger,1
That should not be told to us here either.,anger,1
Because we have enough problems as it is.,sadness,5
That should be lightened up for days.,happiness,4
"And when you are in a certain situation,",neutral,0
So more time is spent talking and talking and talking.,anger,1
I am a very tough...,happiness,4
with a lot of perseverance.,neutral,0
A woman who knows what she can do.,happiness,4
Who has already achieved quite a lot.,happiness,4
But something breaks inside me here.,sadness,5
I think that morale is dropping.,sadness,5
"Yes, she brings the morale down a bit.",sadness,5
That costs us a lot of energy.,sadness,5
"To keep dragging people along all the time, to tip them off.",anger,1
"Yes, because the group is only as strong as its weakest link.",neutral,0
"Well, now we have the first weak link, idiots.",disgust,2
And then we drop him.,sadness,5
I'm really not going to give up my morals for this.,anger,1
In what kind of setup?,neutral,0
We all feel good now.,happiness,4
"And if that doesn't change with you,",fear,3
I will definitely not let that ruin the mood.,happiness,4
"No, no.",anger,1
Kampsuit continues to believe in the possibility of making fire with Gerrit Lens.,happiness,4
"Keep staying, guys.",happiness,4
Good.,happiness,4
Wow.,surprise,6
"It's good material, right?",happiness,4
Yes.,neutral,0
That seemed to be working.,happiness,4
"It was still very difficult,",sadness,5
because we couldn't really get the flame into the wood.,sadness,5
"And at a certain point, we really gave it our all,",happiness,4
Gerrit and I.,happiness,4
A bit of this. Some of this inside.,neutral,0
"Shit, I swear to you, man.",anger,1
"Yes, me too.",neutral,0
Yes.,neutral,0
That flame and that smell.,happiness,4
"That's a wonderful smell, man. Unbelievable.",happiness,4
Fantastic feeling.,happiness,4
You see that frustration with it. It's all gone.,happiness,4
"Certainly with the elimination in mind, it's still a bit of a pick-me-up.",sadness,5
We did it.,happiness,4
"Just grab the rice, I would say.",neutral,0
How do you analyze the group over the past eight days?,neutral,0
"There are obviously, because it can't be otherwise, a number of cultural layers mixed together.",neutral,0
There are men and women mixed together.,neutral,0
You have people who go for the win.,neutral,0
You have people who go for having a good relationship with each other.,happiness,4
And I think that the combination of those two is a foundation to win.,happiness,4
Eventually.,neutral,0
"Six days ago, a basic survival kit was dropped at your location.",neutral,0
You haven't been able to find those until now.,sadness,5
And I know that you tried.,neutral,0
"To help you out of trouble, I have this bag here.",happiness,4
That was him.,neutral,0
You may take those with you when you go back to the camp later.,neutral,0
One of you will not be there.,fear,3
You have to vote someone out from among you.,fear,3
Sorry.,sadness,5
Sorry.,sadness,5
"First is for you, Erik.",happiness,4
Also the second one.,neutral,0
"This is for you, Kwan.",happiness,4
"This is for you, Kwan.",happiness,4
Erik.,neutral,0
"This is the fourth vote, Erik. It's actually already a done deal.",sadness,5
"And this one is for you too, Erik.",happiness,4
Never mind. And that's for you too.,anger,1
"Erik, say goodbye to my campmates and come with me.",neutral,0
I will do that.,neutral,0
"Erik, say goodbye to my campmates and come with me.",neutral,0
I do that.,neutral,0
Erik.,neutral,0
"Take care, guys.",happiness,4
Dag Erik. Dag Erik.,neutral,0
Dag Erik.,neutral,0
The group has chosen speed and strength.,neutral,0
I am 62 years old and I especially noticed by climbing that drawbridge yesterday that I am too slow.,sadness,5
I think Rambo is going to die.,fear,3
"Friendly indeed, because he keeps looking at you kindly and smiling kindly.",happiness,4
But he is going to die.,fear,3
I think Jan has it in him to be very honest.,happiness,4
"Whether he will last long in the group, we shall see.",neutral,0
"And I also think that with me, a piece of backbone has gone.",sadness,5
Explain that in more detail.,neutral,0
"I have a kind of leadership style that is based on trust, on collaboration.",neutral,0
Telling each other everything and then moving towards a goal.,happiness,4
And I tried to share that in the beginning.,neutral,0
And that worked.,happiness,4
"But that in a week you have built up team spirit, spirit, coming together, we do it.",happiness,4
That was apparently stopped by a single lost trial.,sadness,5
So fragile is a team that works.,sadness,5
Yes.,neutral,0
"Next week in Expeditie Robinson, Pieter is working on a strategy.",neutral,0
I would most like to continue with Martijn and Gerrit.,happiness,4
I now have the distinct impression that I have no strength left.,sadness,5
Jan reaches his emotional breaking point.,sadness,5
And South goes wild for a moment.,happiness,4
Here I found my baby.,happiness,4
Where is my baby?,fear,3
I don't have as much energy as a 26-year-old.,sadness,5
But every evening the energy meter was at zero.,sadness,5
"And if you go below zero, then you collapse. So I definitely didn't want that.",fear,3
It is a physically strong group.,happiness,4
In which I tried to make a connection to the aspect of social feeling.,neutral,0
"I think that the mental baggage, if you want to call it that, is not too big.",neutral,0
"Yesterday a long life in love, Rob is starting a completely new dating experiment.",surprise,6
He is going to live together with two women at the same time.,surprise,6
I am Rob.,neutral,0
Hi.,neutral,0
Angela is making herself heard a little less clearly for the time being.,sadness,5
"I better shape up, cause you need a man.",happiness,4
"Yes, also.",neutral,0
If I'm gonna prove.,neutral,0
You better prove.,anger,1
"Oh, it is over.",sadness,5
Yes.,neutral,0
"You did it, girl. I am really...",happiness,4
Proud.,happiness,4
"Marina is less proud of Rob, because he doesn't make any moves.",sadness,5
Do you think you really flirt with us?,neutral,0
No.,anger,1
I don't really know how to convey that to someone else.,fear,3
Yes.,neutral,0
Sama and Binta are actually very good at flirting.,happiness,4
Really a picture.,happiness,4
Thank you.,happiness,4
"What I see, you have a very beautiful calmness around you.",happiness,4
And the other way around.,neutral,0
That you can talk very well.,happiness,4
I have quite a lot to do with that.,neutral,0
But confidence.,happiness,4
Yes.,neutral,0
Confident Sama makes it exciting until the end.,surprise,6
There is one factor and I will tell you that later.,surprise,6
Because of those insects.,disgust,2
No.,neutral,0
Because I am really afraid of insects.,fear,3
This is long live love.,happiness,4
The most beautiful stories.,happiness,4
Long live love.,happiness,4
Love is free.,happiness,4
Almost.,surprise,6
"Okay, let me try.",happiness,4
So you put this in here.,neutral,0
I'm going in a moment...,fear,3
I'm going in a moment...,fear,3
I'm going in a moment...,fear,3
I'm going in a moment...,fear,3
I'm going in a moment...,fear,3
I'm going in a moment...,fear,3
I'm going in a moment...,fear,3
I'm going in a moment...,fear,3
I am also very much...,happiness,4
I am also very much behind here in the back.,fear,3
I think he does that too...,neutral,0
Yes.,neutral,0
Which part went in?,surprise,6
Which deal went with it...,surprise,6
I think...,neutral,0
I think...,neutral,0
Yes.,neutral,0
"Yes, I am also very curious about what he is going to do.",surprise,6
Yes.,neutral,0
"Well, let's just get it over with carefully, okay?",neutral,0
Yes.,neutral,0
Saba and Binta have now also been together for 24 hours and that was accompanied by the necessary compliments,happiness,4
back and forth.,neutral,0
"But Binta finds it difficult to express herself, while Saba has no such",fear,3
has trouble with it.,sadness,5
I have been pleasantly surprised from the moment you walked in.,surprise,6
"You radiate, you are beautiful.",happiness,4
You are a very beautiful lady to look at.,happiness,4
Thank you.,happiness,4
I find it very cute that you find all the little animals very scary.,happiness,4
You are a bit of a princess.,disgust,2
"Because of that, you also put me in my place where I think I belong, in a relationship",neutral,0
between man and woman.,neutral,0
"Yes, I have decided to extend.",neutral,0
"I do see some more potential in us conversing further, going a bit deeper.",happiness,4
Seeking a bit more affection.,sadness,5
Ok̩.,neutral,0
I don't know how that is for you.,neutral,0
I am a bit curious.,surprise,6
I also really enjoyed it.,happiness,4
"We had a good time, had good conversations, also a little bit of deep conversations",happiness,4
had.,neutral,0
"A lot in common, I thought myself.",happiness,4
Certainly.,neutral,0
I could see a lot of myself in you.,happiness,4
"The other way around, yes.",neutral,0
And in your stories.,neutral,0
"The other way around, yes.",neutral,0
So I really liked being able to have such conversations.,happiness,4
"Only, the only thing with me is, is that you're not my type.",sadness,5
While you are a very handsome man.,happiness,4
"Yes, because we are going to eat. What do you like?",neutral,0
I want to eat the sushi. Sushi?,happiness,4
"Yes, but making that yourself.",neutral,0
Make it yourself? Yes.,happiness,4
"Can you do that? Of course, anyone can do that.",happiness,4
"Cook rice, put a fish on it...",neutral,0
"...if I just saw you, you should keep the soy sauce in your mouth.",disgust,2
