Start Time,End Time,Sentence,Translation,Emotion_fine,Emotion_core,Intensity
1900-01-01 00:00:00,1900-01-01 00:00:04,"La Verne, California, just 30 miles from Los Angeles,","La Verne, California, just 30 miles from Los Angeles,",neutrality,neutral,neutral
1900-01-01 00:00:04,1900-01-01 00:00:07,this suburb is home to a neighborhood Italian bistro,this suburb is home to a neighborhood Italian bistro,pride,happiness,mild
1900-01-01 00:00:07,1900-01-01 00:00:09,called Charlie's.,called Charlie's.,neutrality,neutral,neutral
1900-01-01 00:00:09,1900-01-01 00:00:13,"And in 2010, it was bought by the Leyva family.","And in 2010, it was bought by the Leyva family.",matter-of-factness,neutral,neutral
1900-01-01 00:00:13,1900-01-01 00:00:14,Would you like a booth?,Would you like a booth?,politeness,neutral,neutral
1900-01-01 00:00:14,1900-01-01 00:00:16,I started working here 10 years ago.,I started working here 10 years ago.,reflection,neutral,neutral
1900-01-01 00:00:16,1900-01-01 00:00:17,I was a waitress here.,I was a waitress here.,nostalgia,neutral,neutral
1900-01-01 00:00:17,1900-01-01 00:00:20,"And then I had the opportunity to take it over,","And then I had the opportunity to take it over,",anticipation,happiness,mild
1900-01-01 00:00:20,1900-01-01 00:00:23,"but I didn't have the money or the collateral,","but I didn't have the money or the collateral,",frustration,sadness,moderate
1900-01-01 00:00:23,1900-01-01 00:00:26,so I had to go to my mom and my sister.,so I had to go to my mom and my sister.,resignation,sadness,mild
1900-01-01 00:00:26,1900-01-01 00:00:28,Pat and Val both full-time school teachers,Pat and Val both full-time school teachers,neutrality,neutral,neutral
1900-01-01 00:00:28,1900-01-01 00:00:32,finance the restaurant and put their houses up as collateral,finance the restaurant and put their houses up as collateral,apprehension,fear,moderate
1900-01-01 00:00:32,1900-01-01 00:00:35,to help Tatiana fulfill her dream.,to help Tatiana fulfill her dream.,hope,happiness,mild
1900-01-01 00:00:35,1900-01-01 00:00:38,"My mom and I don't know about the restaurant business,","My mom and I don't know about the restaurant business,",uncertainty,fear,mild
1900-01-01 00:00:38,1900-01-01 00:00:42,and so we put a lot of trust in my sister's experience,and so we put a lot of trust in my sister's experience,confidence,happiness,moderate
1900-01-01 00:00:42,1900-01-01 00:00:44,to run the restaurant.,to run the restaurant.,determination,neutral,neutral
1900-01-01 00:00:44,1900-01-01 00:00:46,Are we going to have enough bread for tonight?,Are we going to have enough bread for tonight?,concern,fear,mild
1900-01-01 00:00:46,1900-01-01 00:00:47,Of course.,Of course.,assent,neutral,neutral
1900-01-01 00:00:47,1900-01-01 00:00:49,"When I took over the restaurant,","When I took over the restaurant,",anticipation,happiness,mild
1900-01-01 00:00:49,1900-01-01 00:00:52,I didn't want to change the menu or the chef.,I didn't want to change the menu or the chef.,reluctance,sadness,mild
1900-01-01 00:00:52,1900-01-01 00:00:54,I just wanted to keep it as is,I just wanted to keep it as is,preference,neutral,mild
1900-01-01 00:00:54,1900-01-01 00:00:56,because I love this restaurant.,because I love this restaurant.,affection,happiness,moderate
1900-01-01 00:00:56,1900-01-01 00:00:58,How are we doing?,How are we doing?,curiosity,neutral,neutral
1900-01-01 00:00:58,1900-01-01 00:00:59,That's not good.,That's not good.,disappointment,sadness,mild
1900-01-01 00:00:59,1900-01-01 00:01:02,But it didn't pan out the way I wanted it to.,But it didn't pan out the way I wanted it to.,disappointment,sadness,moderate
1900-01-01 00:01:05,1900-01-01 00:01:07,"I mean, I could sit here all day","I mean, I could sit here all day",boredom,neutral,mild
1900-01-01 00:01:07,1900-01-01 00:01:09,and have maybe 4 tables at the most.,and have maybe 4 tables at the most.,limitation,neutral,neutral
1900-01-01 00:01:09,1900-01-01 00:01:11,"How many tables did you have, Jen?","How many tables did you have, Jen?",curiosity,neutral,neutral
1900-01-01 00:01:11,1900-01-01 00:01:12,I only had one.,I only had one.,regret,sadness,mild
1900-01-01 00:01:12,1900-01-01 00:01:15,That doesn't even pay for the costs,That doesn't even pay for the costs,frustration,anger,moderate
1900-01-01 00:01:15,1900-01-01 00:01:17,of just running electricity.,of just running electricity.,boredom,neutral,neutral
1900-01-01 00:01:17,1900-01-01 00:01:19,Who's going to bring the people in?,Who's going to bring the people in?,concern,fear,mild
1900-01-01 00:01:19,1900-01-01 00:01:20,I don't know.,I don't know.,uncertainty,neutral,neutral
1900-01-01 00:01:20,1900-01-01 00:01:24,The problem with the restaurant is Tatiana.,The problem with the restaurant is Tatiana.,blame,anger,moderate
1900-01-01 00:01:24,1900-01-01 00:01:26,Tatiana.,Tatiana.,neutrality,neutral,neutral
1900-01-01 00:01:28,1900-01-01 00:01:29,The fact that she feels like,The fact that she feels like,uncertainty,neutral,neutral
1900-01-01 00:01:29,1900-01-01 00:01:31,"she doesn't have to change things,","she doesn't have to change things,",acceptance,neutral,neutral
1900-01-01 00:01:31,1900-01-01 00:01:32,it's ridiculous.,it's ridiculous.,frustration,anger,moderate
1900-01-01 00:01:32,1900-01-01 00:01:33,They don't like this tiramisu?,They don't like this tiramisu?,doubt,surprise,mild
1900-01-01 00:01:33,1900-01-01 00:01:35,"No, they're crazy.","No, they're crazy.",dismissal,disgust,moderate
1900-01-01 00:01:35,1900-01-01 00:01:38,It's the best tiramisu I've ever had in my life.,It's the best tiramisu I've ever had in my life.,delight,happiness,intense
1900-01-01 00:01:38,1900-01-01 00:01:43,"The food, um, oh, it's disgusting.","The food, um, oh, it's disgusting.",revulsion,disgust,intense
1900-01-01 00:01:43,1900-01-01 00:01:45,Casamero is our head chef.,Casamero is our head chef.,pride,happiness,mild
1900-01-01 00:01:45,1900-01-01 00:01:48,"He's been here for 14 years,","He's been here for 14 years,",reflection,neutral,neutral
1900-01-01 00:01:48,1900-01-01 00:01:51,and he's pretty awful.,and he's pretty awful.,contempt,disgust,moderate
1900-01-01 00:01:52,1900-01-01 00:01:54,"It's a little chewier, actually.","It's a little chewier, actually.",observation,neutral,neutral
1900-01-01 00:01:54,1900-01-01 00:01:56,"Basically, the restaurant's suffering for it.","Basically, the restaurant's suffering for it.",concern,sadness,moderate
1900-01-01 00:01:56,1900-01-01 00:01:58,Do we have any tables that are happy?,Do we have any tables that are happy?,curiosity,neutral,neutral
1900-01-01 00:02:00,1900-01-01 00:02:03,"When Tatiana manages the restaurant,","When Tatiana manages the restaurant,",anticipation,neutral,neutral
1900-01-01 00:02:03,1900-01-01 00:02:05,usually that consists of standing around,usually that consists of standing around,boredom,neutral,mild
1900-01-01 00:02:05,1900-01-01 00:02:07,with a glass of wine in her hand.,with a glass of wine in her hand.,contentment,happiness,mild
1900-01-01 00:02:07,1900-01-01 00:02:08,All right.,All right.,acceptance,neutral,neutral
1900-01-01 00:02:08,1900-01-01 00:02:09,She's very disrespectful.,She's very disrespectful.,contempt,disgust,moderate
1900-01-01 00:02:09,1900-01-01 00:02:11,You're talking out of your ass.,You're talking out of your ass.,contempt,disgust,moderate
1900-01-01 00:02:11,1900-01-01 00:02:12,Rude.,Rude.,offense,anger,mild
1900-01-01 00:02:12,1900-01-01 00:02:13,Stop it.,Stop it.,irritation,anger,mild
1900-01-01 00:02:13,1900-01-01 00:02:14,I told you.,I told you.,assertion,neutral,neutral
1900-01-01 00:02:14,1900-01-01 00:02:15,Most people end up crying.,Most people end up crying.,sorrow,sadness,moderate
1900-01-01 00:02:15,1900-01-01 00:02:17,Don't you dare.,Don't you dare.,warning,anger,moderate
1900-01-01 00:02:18,1900-01-01 00:02:20,I need a drink.,I need a drink.,craving,neutral,mild
1900-01-01 00:02:20,1900-01-01 00:02:23,Tatiana doesn't know how to handle being an owner.,Tatiana doesn't know how to handle being an owner.,insecurity,fear,moderate
1900-01-01 00:02:23,1900-01-01 00:02:25,"Don't drink so much, okay?","Don't drink so much, okay?",concern,fear,mild
1900-01-01 00:02:25,1900-01-01 00:02:27,My mom and my sister already resent me,My mom and my sister already resent me,rejection,sadness,moderate
1900-01-01 00:02:27,1900-01-01 00:02:29,for asking them to put their houses on the line.,for asking them to put their houses on the line.,guilt,sadness,moderate
1900-01-01 00:02:29,1900-01-01 00:02:31,I don't know how we're gonna make it this month.,I don't know how we're gonna make it this month.,anxiety,fear,moderate
1900-01-01 00:02:31,1900-01-01 00:02:33,They play the blame game.,They play the blame game.,resentment,anger,moderate
1900-01-01 00:02:33,1900-01-01 00:02:34,This is Tatiana's fault.,This is Tatiana's fault.,blame,anger,moderate
1900-01-01 00:02:34,1900-01-01 00:02:37,We wouldn't be in this mess if it wasn't for Tatiana.,We wouldn't be in this mess if it wasn't for Tatiana.,blame,anger,moderate
1900-01-01 00:02:37,1900-01-01 00:02:39,But they didn't put a gun to their head.,But they didn't put a gun to their head.,defensiveness,neutral,mild
1900-01-01 00:02:39,1900-01-01 00:02:41,What are we going to do now?,What are we going to do now?,uncertainty,fear,moderate
1900-01-01 00:02:41,1900-01-01 00:02:43,"If we don't get more customers,","If we don't get more customers,",worry,fear,moderate
1900-01-01 00:02:43,1900-01-01 00:02:45,we will lose our houses.,we will lose our houses.,dread,fear,intense
1900-01-01 00:02:45,1900-01-01 00:02:47,It is very serious.,It is very serious.,concern,fear,moderate
1900-01-01 00:02:48,1900-01-01 00:02:51,I really need Chef Ramsay's help.,I really need Chef Ramsay's help.,yearning,sadness,moderate
